text,category,plant,genus,species,plant_group,category_int,plant_group_int
"Growth and Yield- Incense-cedar varies greatly in size in different parts of its range. In the Coast Ranges and in southern California, the largest trees generally are from 18 to 24 m (60 to 80 ft) tall and 90 to 120 cm (36 to 48 in) in d.b.h. In the Sierra Nevada, incense-cedars frequently grow to heights near 46 m (150 ft) with d.b.h.'s near 210 cm (84 in). The largest tree measured was 375 cm (148 in) in d.b.h. (1). A tree 69 m (225 ft) tall was reported from southern Oregon. At high elevations, especially on dry, exposed sites, trees tend to be small and scrubby. Incense-cedar is long-lived. Large trees often are more than 500 years old (22). The oldest recorded age is 542 years for a tree only 130 cm (51 in) in d.b.h. Growth rates of young mixed conifer stands in the central Sierra Nevada were investigated recently (3). In stands with basal areas of 23 to 69 m²/ha (100 to 300 ft²/acre), periodic annual increment of incense-cedar was 0.81 cm (0.32 in) in d.b.h. and 0.3 m (1.0 ft) in height at age 40. By age 90, periodic annual increment had declined to 0.36 cm (0.14 in) for d.b.h. and 0.2 m (0.6 ft) for height. Incense-cedar often grows more slowly than associated conifers and is therefore a major component of the intermediate and suppressed crown classes. Seldom does it contribute more than 5 to 10 percent of the stand volume (22). At Blodgett Forest in the northern Sierra Nevada, for example, volume growth of incense-cedar was consistently slower than its associates, regardless of stand density or tree size (4). In stands of moderate density, incense-cedar grew in volume at an annual rate of 1.6 percent, compounded. The average rate for all species was 2.3 percent. On poor sites, however, open-grown incense-cedars as large as 60 cm (24 in) in d.b.h. can exceed all other species, except white fir, in basal area growth (22). On better sites, incense-cedars generally fall behind and are forced to endure more and more shade. Increasing shade further slows their growth to the point of bare existence. On such trees, 16 annual rings per centimeter (40/in) of diameter are not uncommon (12). Rooting Habit- From seedling stage through maturity, incense-cedar has a more spreading and extensive rooting habit than many of its associates. This extensive, well-developed root system allows it to survive droughty sites and resist windthrow. Root branching of seedlings in an artificially controlled environment was inversely proportional to growth rate (33). Rapidly growing roots produced few laterals, but when growth of these roots temporarily ceased, laterals were produced in profusion. When growth resumed, laterals again were widely spaced, resulting in a node-internode pattern. Reaction to Competition- Incense-cedar has been rated as more shade tolerant (22) than the associated pines and Douglas-fir (16), and perhaps less tolerant than white fir and grand fir. In the seedling stage, incense-cedar can endure dense shade, especially in cool, moist environments (17). But for full development from sapling stage through maturity, it requires more light (22). Incense-cedar shows good response to release. Much of the extremely slow growth of young reproduction results from suppression or browsing. When released, seedlings grow rapidly in height. But because height growth usually is slower than that of associated species of comparable age, incense-cedar usually is a secondary species in the final stand (22). Although shaded out, lower branches are slow to shed, even in dense stands. Many dead branches must be removed, therefore, if clear lumber is to be produced in rotations of 80 to 120 years. Damaging Agents- Overmature incense-cedars are more defective than their associates. The amount of cull increases with age of the trees and varies among stands (22). Average cull percents based upon gross volume are 4 to 6 percent for immature dominants, 21 percent for mature dominants, and 68 to 77 percent for overmature dominants. The single most destructive agent affecting incense-cedar is the pocket dry rot (Tyromyces amarus). Pocket dry rot is most common in trees growing on good sites. In parts of the Sierra Nevada, 75 to 100 percent of the mature trees are infected. Trees on marginal sites near incense-cedar's eastern limit usually are infected less (2). The spores of pocket dry rot must be deposited on an open wound to infect trees because the mycelium cannot penetrate through the bark into the heartwood (14). The most prevalent port of entry is through fire scars (84 percent). Knots (10 percent) are next in frequency And injuries resulting from lightning and frost (6 percent) are least (22). Pocket dry rot seems relatively resistant to heartwood extractives that are toxic to other heart-rotting fungi and may actually detoxify them (34). This unusual ability may explain the apparent anomaly of highly defective heartwood in live, overmature trees and high durability of heartwood in sawn products. In management of young-growth incense-cedar, the age at which dry rot begins to cause losses is of primary significance. Suppressed trees are subject to severe dry rot infection after they reach 165 years, but dominant trees generally are safe until 210 years old (22). Because the rotation age of young-growth stands is considerably less than these critical ages, pocket dry rot should not cause severe cull in managed stands. Two other fungi that occasionally rot the heartwood of living incense-cedar are Phellinus pini and Phaeolus schweinitzii (10). Root disease kills more incense-cedar trees than any other pathogen (24). Of the three facultative, parasitic fungi found attacking incense-cedar roots, Armillaria sp., Heterobasidion annosum, and Phellinus weiri, probably the most destructive is Heterobasidion annosum. More than 100 H. annosum infection centers have been confirmed on developed sites in Yosemite Valley, CA (25). Property damage caused by falling root-diseased trees has been substantial and has led to the development of a risk-rating system. On the basis of crown characteristics, the system predicts the potential for early failure of root-diseased incense-cedar (25). The only foliage disease of any consequence is the rust caused by Gymnosporangium libocedri (10), which infects incense-cedar of all ages, causing witches' brooms, but only infrequently kills smaller branches. Although extensive infections of leaf rust retard growth, no deaths have been attributed directly to the disease. Infections in the main stem may result in burls that cause defect in lumber (2). Ozone, the major plant-damaging constituent of photochemical oxidant air pollution, injures the foliage of many coniferous species. Incense-cedar is insensitive to injury from ozone. It appears to have sufficient numbers of tolerant individuals so that it may be planted with reasonable success in the ozone-affected forests common in the southern portion of this species' natural range (15). Incense-cedar mistletoe (Phoradendron juniperinum subsp. libocedri) grows on incense-cedar throughout the range of the tree. This true mistletoe causes elongated swellings on the branches and occasionally on the trunk. Severe infections suppress growth but rarely kill large trees (2). Many species of insects are found on incense-cedar, but relatively few cause serious losses. A cone sawfly (Augomonoctenus libocedrii) sometimes infests cones, resulting in damage resembling that of cone-feeding caterpillars (6). The juniper scale (Carulaspis juniperi) is a European species now distributed throughout the range of incense-cedar (6). It attacks twigs, leaves, branches, and cones, causing the foliage to turn yellow. Sometimes branches and entire trees are killed. Six species of cedar bark beetles (Phloeosinus spp.) can be found working under bark of trunks, tops, and limbs of weakened, dying, or felled trees or of broken branches (6). Although damage usually is inconsequential, beetles occasionally become sufficiently numerous and aggressive to attack and kill apparently healthy trees. Several wood borers have been found in incense-cedar, but none poses a threat to the life of the tree (6). The flatheaded cedar borer (Chrysobothris nixa) mines the bark and outer wood of limbs, trunks, and roots of weakened, dying, and dead trees, principally in the coast region. The amethyst cedar borer (Semanotus amethystinus) is similar to Chrysobothris nixa but confines its work to the inner bark and a scoring of the outer sapwood of boles and large limbs throughout the range of incense-cedar. The western cedar borer (Trachykele blondeli), like Chrysobothris nixa, can cause serious degrade and cull in trees cut for products requiring sound wood. Its larvae mine the sapwood and heartwood of living trees. Trachykele opulenta is similar to T. blondeli but less destructive. The incense-cedar wasp (Syntexis libocedrii) bores in the sapwood of fire-scorched trees in California. Fire has played a significant role in the health and relative abundance of incense-cedar in mixed-conifer stands. Sapling incense-cedars are more readily killed by fire than most of their associates; the thick bark of mature incense-cedar offers considerable protection from fire. Intense fires indirectly result in more damage to mature trees, however, by exposing trunks to infection by pocket dry rot. As a result of fire control by land management agencies beginning about 1900, and partial cutting practices, the proportion of incense-cedar in the understory has increased. Incense-cedar is favored because it is a prolific seeder and because the shade-tolerant seedlings and saplings can persist for long periods in the understory.",Sapling and Pole Stages to Maturity,Incense-Cedar,libocedrus,decurrens,conifer,14,1
"Incense-cedar grows on many kinds of soils developed from a wide variety of parent rocks-rhyolite, pumice, andesite, diorite, sandstone, shale, basalt, peridotite, serpentinite, limestone, and granitic or metamorphic: equivalents. It is particularly adept at extracting soil phosphorus (21) and calcium (35), and excluding surplus magnesium. Soils supporting incense-cedar vary greatly. Reaction ranges from nearly neutral to strongly acid. Textures vary from coarse sands to very fine clays. The best stands generally are found on deep, well-drained, sandy loam soils developed on granitic rocks and sandstone; deep clay loams developed on basalt and rhyolite; and occasionally on deep, coarse-textured, well-drained soils developed from pumice. In California, incense-cedar grows best on deep, slightly to moderately acid Ultic Haploxeralfs, such as the Holland series weathered from granitic rock, and the Cohasset series derived from andesite and basalt. Incense-cedar also grows on infertile soils derived from peridotite or serpentinite throughout the Sierra Nevada and tends to be restricted to these soils in western portions of the north Coast Ranges and Klamath Mountains (7). Although it is a good competitor on these soils because of its apparent ability to extract calcium and exclude magnesium, its growth is considerably less than on more fertile sites. Apparently the high calcium-extracting ability of incense-cedar may interfere with magnesium and micronutrient uptake on limestone. Incense-cedars are rare on limestone soils, and the trees that do grow there contain high concentrations of calcium and low concentrations of manganese and zinc (35). Incense-cedar grows at elevations between 50 and 2010 m (165 and 6,600 ft) in its northern extreme (30), and between 910 and 2960 m (3,000 to 9,700 ft) in its southern limits. In the Sierra Nevada, the tree grows best at elevations between 610 and 2100 m (2,000 to 6,900 ft). Once established, incense-cedar is a good competitor on hot, dry sites and commonly shares an upper canopy position on southwestern slopes. On cooler, moister aspects, it is usually subdominant to other species.",Soils and Topography,Incense-Cedar,libocedrus,decurrens,conifer,15,1
"The outstanding durability and resistance to decay of lumber from incense-cedar heartwood make it ideal for exterior use where moisture is present. This wood gives long service with little maintenance in such uses as mud sills, window sashes, sheathing under stucco or brick veneer construction, greenhouse benches, fencing, poles, and trellises (12). Incense-cedar also is used extensively for exterior siding because it is dimensionally stable and holds paint well, in addition to being durable. Rich color, sound knots, and aromatic fragrance make the wood popular for interior paneling and woodwork. At present, pecky cedar (boards sawn from trees infected with pocket dry rot) is in demand for paneling and backyard fencing, thereby making a market for poor quality grades that formerly were not utilized. Incense-cedar is ideally suited to the manufacture of pencils because it is soft, easily whittled, and has straight grain (12). Much of the top-grade lumber produced goes to this use. Incense-cedar is cultivated widely as an ornamental tree both within its natural range and as an introduced species. The tree grows well in western and central Europe (11) and in the Eastern United States as far north as Massachusetts.",Special Uses,Incense-Cedar,libocedrus,decurrens,conifer,16,1
"The Jack Pine forest cover type (Society of American Foresters Type 1) (26) typically originates after forest fires. It is found in pure, even-aged stands or as a majority of the stocking over vast areas of Canada and to a much lesser extent in the Lake States and the northeastern United States (61). In the boreal forest jack pine is also a component of three other forest cover types-Black Spruce (Type 12), Paper Birch (Type 18), and Aspen (Type 16). In the northern forest region it is a component of two forest cover types-Red Pine (Type 15) and Northern Pin Oak (Type 14). Outliers near southern fringes of the species' range are found in various types of hardwood forest (12). Associated tree species, listed in order of presence on dry to mesic sites, include northern pin oak (Quercus ellipsoidalis), bur oak (Q. macrocarpa), red pine (Pinus resinosa), bigtooth aspen (Populus grandidentata), quaking aspen (P. tremuloides), paper birch (Betula papyrifera), northern red oak Quercus rubra), eastern white pine (Pinus strobus), red maple (Acer rubrum), balsam fir (Abies balsamea), white spruce (Picea glauca), black spruce (P. mariana), tamarack (Larix laricina), and balsam poplar (Populus balsamifera). In the boreal forest the most common associates are quaking aspen, paper birch, balsam fir, and black spruce. In the northern forest they are northern pin oak, red pine, quaking aspen, paper birch, and balsam fir. Associates are nearly always subordinate to jack pine except for aspen, paper birch, and red pine which may be coordinate (26,61). Infrequent associates in the northeastern United States and adjacent Canada include white oak (Quercus alba), pin cherry (Prunus pensylvanica), gray birch (Betula populifolia), red spruce (Picea rubens), and pitch pine (Pinus rigida) (61). In Canada, six subtypes of jack pine may be recognized based upon the edaphic and climatic conditions where they are found and on associated species as follows: jack pine-balsam fir-black spruce (subtype a); jack pine-feather moss (subtype b); jack pine-sheep laurel (subtype c); jack pine-sphagnum. (subtype d); jack pine-labrador-tea (subtype e); jack pine-lichen (subtype f) (26). The preceding subtype descriptions apply primarily to eastern Canada. However, jack pine forests in Saskatchewan bear close resemblance to some of the subtypes described above (43). Subtypes, as such, are not recognized in the Lake States. There are, however, certain variants of the type, including jack pine-black spruce, jack pine-red pine, and northern pin oak-jack pine (26).",Associated Forest Cover,Jack Pine,pinus,banksiana,conifer,1,1
"In the eastern part of its range, jack pine grows in a maritime climate but elsewhere it is found in diverse continental climates characterized by short, warm to cool summers, very cold winters, and low rainfall. The average January and July temperatures range from -29° to -4° C (-20° to 25° F) and from 13° to 22° C (55° to 72° F), respectively. Average annual maximum temperatures range from 29° to 38° C (85° to 100° F), and average annual minimum temperatures are from -21° to -46° C (-5° to -50° F) (61). Mean annual temperatures range between -5° and 4° C (23° and 40° F) (74). The northern limits of the range closely parallel the 29° C (85° F) mean annual maximum isotherm. Frost may occur in some areas during any month and in the Northwest the range extends into the permafrost zone. (61). Average annual precipitation ranges from 250 to 1400 mm (10 to 55 in) but 380 to 890 mm (15 to 35 in) are more usual. The average warm season precipitation ranges from 150 to 640 mm (6 to 25 in). Annual snowfall is from 76 to 508 cm (30 to 200 in), but over much of the range it is between 102 and 254 cm (40 to 100 in). Summer droughts are common in the south-central and western portions of the range (61). The average date of the last killing spring frost ranges from April 30 to about July 1; and the average date of the first killing fall frost ranges from about August 10 to October 20. The frost-free period averages from 50 to 173 days but is usually from 80 to 120 days. Generally, temperature, rainfall, and frost-free period increase from the northwestern toward the southeastern part of the range (61).",Climate,Jack Pine,pinus,banksiana,conifer,2,1
"The various environments in which jack pine grows over its wide range have provided ample opportunity for differentiation and natural selection (72). Virtually the entire present range of jack pine was glaciated during the most recent Wisconsin stage that reached its maximum about 18,000 years ago. The present distribution of the species therefore results from re-invasion and migration over huge areas and great distances in a relatively short time, estimated at 15,000 years since the retreat of the ice began in earnest. Available paleobotanical evidence suggests that jack pine survived the Wisconsin glacial maximum at low elevations in the Appalachian Mountains south of latitude 34° N. and also in the western Ozark Mountains. From these refugia it migrated to the north and east and up the Mississippi Valley, and westward around the southern end of the Lake Agassiz basin (72).",Genetics,Jack Pine,pinus,banksiana,conifer,7,1
"Although putative hybrids have been reported between jack pine and Virginia pine (Pinus virginiana), loblolly pine (P. taeda), and Japanese black pine (P. thunbergiana) (72), jack pine x lodgepole pine (P. x murraybanksiana Righter and Stockwell) is the only verified interspecific hybrid in which jack pine is a parent (59). Widely scattered tests of the artificially created hybrids have shown mixed results, probably because the origin of the parents was not always matched with the environment of the test site (25,50,58). Tests of the California-developed F1 hybrids, F2, backcross progeny, and the two parent species in northern Wisconsin and eastern Ontario showed that winter injury was associated with affinity to one or the other parent-it ranged from very severe in the lodgepole pine from California to none in the jack pine (70,87). Polygenic inheritance was indicated suggesting that the backcross breeding method might be used to develop lines suitable for environments tolerated by the hardier parent. The hybrids and the lodgepole parent were more susceptible to sweetfern rust and to eastern gall rust than local jack pine in tests in the Lake States and Ontario (2,84). The form noted in some hybrids suggested some potential as Christmas trees but not as forest trees (4). However, because of the high susceptibility to sweetfern rust reported in eastern and central Canada, the hybrids should not be planted in that region (84). Natural hybrids between jack pine and lodgepole pine occur in areas of contact in central and northwestern Alberta (21,61,75) and in scattered locations in Saskatchewan (5,6). Differences in cone morphology provide the strongest diagnostic features for distinguishing the hybrids in the field (61,72). The turpentine of jack pine consists almost entirely of alpha- and beta-pinene but that of lodgepole pine is mostly beta-phellandrene with small amounts of 3-carene and the two pinenes. The hybrid contains one-fourth beta-phellandrene and three-fourths pinenes. Thus, in the F1 hybrids the bicyclic terpenes of jack pine dominate over the simpler monocyclic terpene of lodgepole pine in a 3-to-1 ratio (61). Further study of the segregation for turpentine components in the hybrids suggested that the composition is probably controlled primarily by a limited number of genes with major effects (88). Discrimination between lodgepole pine and putative hybrids with jack pine based on analysis of monoterpenes showed that the transition zone between the species may be farther west than previously reported (56).",Hybrids,Jack Pine,pinus,banksiana,conifer,9,1
"Numerous jack pine provenance or seed source tests, established beginning in the early 1940's, have provided information on variation among provenances (72). Studies of variation have included controlled environment chamber, greenhouse, nursery, and field experiment. Growth, the characteristic most frequently emphasized in provenance studies, has been found to follow a generally clinal pattern associated with environmental gradients of latitude (photoperiod) and length and temperature of the growing season at the seed origin (72). Differences in growth among provenances have been demonstrated beginning at the young seedling stage and by age 15 to 20 years the differences among provenances in tree growth and wood production are substantial (72). For example, in a test of Lake States provenances at 14 locations, trees of two provenances from northeastern Minnesota were only 71 percent of the plantation mean height in a central Wisconsin plantation whereas trees of the tallest source, from Lower Michigan, exceeded the plantation mean by 17 percent after 20 years (40). Translated to volume growth and considering tree survival, the volume per hectare of trees in the poorest provenances was only 38 percent of the plantation mean and that of the best was 187 percent of the plantation mean. These results clearly show the importance of selecting and using the best provenance or seed source in jack pine reforestation efforts and the magnitude of the losses in wood production that may result when seed origin is ignored. Provenance test results in Canada have similarly shown wide differences in growth among provenances (72,84,85,86,87). Most provenance tests show that trees of provenances from areas nearest the planting sites grow as well as or better than the average of trees of all provenances (72). In the Lake States, however, trees of provenances that were moved slightly northward outgrew those of the local provenance (40). Thus, although wide latitudinal movement of provenances is not suggested, movement up to 160 km (100 mi) northward in the Lake States can increase growth. Selection of superior provenances within latitudinal belts of similar climate should make substantial genetic gains possible (72). Biomass production of trees in 24- and 25-year-old plantations of four Lake States provenances at three locations ranged from 2.7 to 6.1 t/ha (about 1.2 to 2.7 tons/acre) annually (89). Total biomass and mean annual biomass were negatively related to latitude of the plantation. Movement of provenances slightly northward within climatic zones resulted in increased biomass production of the trees but movement from warmer to colder short-growing-season zones resulted in poor growth. Although tree growth has been the single most important trait evaluated in provenance tests, variation among provenances in other tree characteristics also has been noted. These include tree form as influenced by branching characteristics, wood and bark properties, cold hardiness, autumn foliage color variation in young seedlings, seed yield and quality, isozyme systems, and numerous instances of genetic variation in susceptibility or resistance to diseases and insect pests (72). The vast information available from provenance test results is being applied to the establishment of seed collection zones, breeding zones, and regional jack pine improvement programs in the Lake States (44) and in Canada (72).",Hybrids,Jack Pine,pinus,banksiana,conifer,9,1
"The major portion of the jack pine range is in Canada where its northern boundary extends eastward from the Mackenzie River in the Northwest Territories across the country to Cape Breton Island, NS. The range then extends southwest through Maine, New Hampshire, northern New York, central Quebec and northern Ontario, Michigan, extreme northwest Indiana, northeast Illinois, then northwest through Wisconsin, Minnesota, Manitoba, Saskatchewan, central Alberta, to extreme northeast British Columbia (72). Within its range, jack pine is widely but not continuously distributed. In Canada it is most abundant in Ontario, and in the United States, the largest acreages are in Minnesota, Wisconsin, and Michigan (74). The only significant artificial extensions of the jack pine range have been on strip-mined areas in the central and northeastern States (61) and on the sand hills of Nebraska (11). - The native range of jack pine.",Native Range,Jack Pine,pinus,banksiana,conifer,11,1
"The wide genetic variation found in the species suggests it has large effective breeding populations, heterozygosity for many alleles, and strong natural selection against self-fertilization and increased homozygosity (72). A study of 33 characteristics of tree crown, bark, wood, foliage, and cones of mature trees over most of the natural range showed that all varied significantly according to the geographic origin of the populations. An average of 37 percent of the variation was due to origin (74). Environmental factors appear to be the dominant selection forces responsible for the natural variation over the present-day jack pine range. The area of optimum development of jack pine is north of the Great Lakes in Ontario and Quebec (19,47). Certain traits of jack pine have been demonstrated to be under strong genetic control including cone shape, cone serotiny, cone volume, cone length, scale number, number of scales to first ovule, and number of scales to first seed (53,61,76,79). Early flowering appears to be under additive genetic control and not under the control of a single major gene or recessive genes (41). Lammas growth and prolepsis, which may be detrimental to tree form, are under some genetic control (62,63), and many of the traits contributing to desirable Christmas tree form are highly heritable (55).",Population Differences,Jack Pine,pinus,banksiana,conifer,12,1
"Flowering and Fruiting- Jack pine is a monoecious species. Ovulate cones are usually borne on primary and secondary branches in the upper tree crown and staminate cones are usually borne on tertiary branches lower in the crown. Ovulate cones are modified long shoots and staminate cones are modified dwarf shoots (24). In northeastern Wisconsin, bud initiation for the following year's shoot systems begins in late June or early July. Staminate cone primordia are initiated in early or mid-July but ovulate primordia are not initiated until August. By early September the staminate cone primordia are about 1 mm (0.04 in) long and remain that size until spring. Then they elongate to about 5 mm (0.2 in) by the middle of May and early June just before pollen is shed. Rapid elongation up to several more millimeters occurs as the pollen is shed. Time of pollen shedding (anthesis) varies greatly from year to year depending on the weather (23). Fertilization occurs about 13 months after pollination when the female cone is approaching its maximum size (27). Jack pine is normally a wind-pollinated, cross-fertilizing species but up to 25 percent or rarely more natural selfing can occur (29,64). Under natural conditions, however, survival of selfed and other inbred seedlings is severely reduced by natural selection against the semilethal and other deleterious characteristics carried by the inbred seedlings (67). Cones mature and the seeds ripen late in the growing season of the year after pollination. Various cone and seed characteristics, including cone color, volume, fresh and dry weight, specific gravity, scale color, seed color, and embryo length, can aid in determining seed ripeness. In northeastern Wisconsin the best indicators of cone and seed ripeness are cone color, 75 percent brown; insides of the cone scales, reddish brown; seeds, dark brown or black; and cone moisture content, less than 45 percent of fresh weight. These indicators of cone and seed ripeness coincide with the beginning of cone harvesting by squirrels about September 10. Because specific gravity of the serotinous cones usually remains above 1.0 at least until February, flotation techniques cannot be used to evaluate cone and seed ripeness in jack pine (18). Seed Production and Dissemination- Jack pine trees, particularly under good early growing conditions, begin to flower at a younger age than most other pine species (41,65,68). Under near optimum growing conditions in the greenhouse and nursery, female flowering can be induced in a small percentage of seedlings as early as 12 months from seed sowing (68). Male flowering under these conditions usually does not begin until the fourth year. An accumulated yield of 2,861,000 filled seeds per hectare (1,158,000/acre) can be produced through the first 8 years in plantations with 2.4 m (8 ft) between trees (67). In naturally regenerated stands, jack pine typically begins to flower at 5 to 10 years under open-grown conditions but not until later in closed stands (61). Once cone production in jack pine begins, it is fairly regular and increases until crown competition becomes a factor. Seed production differs from year to year but some seed is usually produced every year and total crop failures are rare (31,61). Seed yields per cone range from about 15 to 75 (72). Strongly curved cones yield less seed than straight ones (72). Ovulate abortion on the inner curvature of cones is twice that on the outer curvature (17). The average number of scales per cone can be more than 80 but usually only a little more than one-third of the scales, those in the upper end of the cones, bear seeds (72). Over much of its natural range jack pine bears predominantly serotinous cones, but in the southern part cones are nonserotinous. Total seeds stored on the trees in serotinous cones can reach more than 14.6 kg or 4 million seeds per hectare (13.0 lb or 1.6 million/acre) in well stocked mature stands (61). As viability after 5 to 10 years may be significantly reduced, however, only cones 6 years old or less should be collected (8). Commercially cleaned seeds range between 156,500 and 551,000/kg (71,000 and 250,000/lb) with an average of 288,800/kg (131,000/lb) (45). Well-stocked, mature stands in the Lake States dispersed an annual average of 6,670 to 25,950 seeds per hectare (2,700 to 10,500/acre) over 5 years; much of the total crop remained in the unopened cones. In areas with nonserotinous or partially serotinous cones, seed may be disseminated during any season. The effective range of seed dissemination, as measured by established seedlings, is about two tree heights although it is low beyond one tree height (61). The melting temperature of the resinous bonding material of the cone scales is 50° C (122° F), but it is likely that the bonding resin softens at lower temperatures in the nonserotinous types in the southern portion of the species' range. The mechanism of cone opening in both serotinous and nonserotinous cones is hygroscopic. Once the bonding material of the cone scales is broken, the quantity of water in the scales is the limiting factor in scale movement and flexing outward under drying condition (35,61). Jack pine cones open most readily during dry weather when the temperature is at least 27° C (80° F), although many of them remain closed until they are exposed to fire or high temperatures near the ground after wind breakage or logging. Over most of its range where serotinous cones are common, up to 50 percent may open on the sunny part of the crown. Cones may also open in very cold winters when the temperature is -46° C (-50° F) or colder (61). Cone and seed crops in jack pine may be reduced by numerous agents (61). Rainy weather at time of pollination may reduce seed set. Cone and seed production are also reduced by cone and ovulate abortion (17,66), but the severe losses previously attributed to abortion may be partially the result of insect attacks. Within a cone, all the ovules near the base of the cone abort and abortion decreases toward the tip (17). Seedling Development- Germination is epigeal (45). Jack pine seed usually germinates within 15 to 60 days under favorable conditions (61), but some seeds require more than 100 days to germinate (72). Delayed germination of direct seeding increased stocking between the first and third year after sowing (60). Under forest conditions with adequate moisture, seeds germinate when air temperatures reach 18° C (64° F) but light also influences germination (2,61). Under continuous light, germination was complete at a range of temperatures from 16° to 27° C (60° to 80° F) (2). Germination was markedly reduced at all temperatures when light was excluded. The shade cast by slash and snags on burned-over or cut-over areas to reduce surface temperature and drying undoubtedly contributes substantially to the good germination often observed on such areas (16). Type of seedbed is an important factor affecting jack pine seed germination (16,61). In northeastern Minnesota, germination under clearcut and partially cut jack pine stands averaged 60 percent on mineral soil, 49 percent on burned duff, 47 percent on scarified and shaded duff, and 17 percent on undisturbed duff (61). The poor germination on litter and humus is caused by poor moisture conditions and it can be satisfactory in years of above normal precipitation. Germination may be delayed by spring drought (16). Associated species can affect germination, survival, and growth of jack pine differentially, probably as a result of allelopathy (13). Survival on various seedbeds shows the same trend as germination (61). Optimum conditions for jack pine seedling establishment and survival are provided by mineral soil and burned seedbeds where competition from other vegetation is not severe (16), the water table is high, and there is some shade (61). Competition from shrubs and herbaceous vegetation, together with smothering by fallen leaves, are important causes of seedling mortality on sandy soils in Ontario. On clay soils in Manitoba and Saskatchewan, competition from aspen and hazel are responsible for poor survival. On similar soils in western Manitoba competing grasses kill many seedlings (16). Most of the older jack pine stands appear to have been established following fires (61). Although jack pine seed usually germinates following fire, most of the seedlings die unless the organic matter left on the soil is less than 1.3 cm (0.5 in) thick. Most germination occurs the first and second season following fire, with most mortality between the first and second growing season. Unless conditions for germination and early survival are favorable, good regeneration does not necessarily follow burns (20,61). Young seedlings grow tallest in full sunlight (48), although under stands their initial abundance may be greatest in light intensities of 11 to 30 percent of full sunlight, but no seedlings are found at 60 percent and higher crown cover (61). Under forest conditions, seedling growth is slow in the first 3 years but increases rapidly beginning in the fourth and fifth years. Seedlings attain a height of about 5 cm (2 in) the first year, 15 cm (6 in) at 2 years, and 30 to 90 cm (12 to 36 in) at 4 years. Early growth of 2-0 seedlings in plantations is more rapid, amounting to 30 to 45 cm (12 to 18 in) per year on medium sites (61). Shoot growth begins in late April and early May at Cloquet, MN, and Chalk River, ON (62,63,80), and about May 10 in the Upper Peninsula of Michigan (61). Essentially all height growth is completed in 61 to 68 days at the three locations. Maximum growth rate approaches 1 cm (0.4 in) per day in both Minnesota and Ontario. Although shoot growth in jack pine ceases long before the end of the frost-free season, the remaining time may be necessary to complete latewood growth, lignification, terminal bud development, and hardening off to resist frost (80). If favorable moisture conditions prevail in late summer, jack pine frequently has a second period of shoot elongation and produces lammas and proleptic shoots (62,63). Trees with lammas shoots had a longer growth period than those without them but did not grow significantly less the following year. The late growth does not result in detectable increases in diameter growth and it may or may not result in false rings. Fall frost injury resulting in frost rings, however, may be frequent in the current shoots of trees with lammas growth. Vegetative Reproduction- Under natural conditions jack pine does not reproduce vegetatively. Jack pine cuttings from young trees can be rooted but rooting ability decreases rapidly with increasing ortet age. Cuttings from 4-month-old seedlings gave 75 percent rooting (7) but average rooting was only 7 percent in cuttings from 6-year-old ortets and 5 percent in those from 10-year-old ortets (90). Clonal variation in rooting percentage ranged from 0 to 31. Aryl esters of indole auxins can enhance rooting of jack pine cuttings taken from young seedlings. Phenyl indole-3-butyric (P-IBA) treatment caused 12 percent more jack pine cuttings to root than did treatment with indole-3-butyric acid (IBA), and up to 30 percent more than no treatment (34). Rooting needle fascicles has potential for establishing large clones in a short time. Shearing the terminal buds on trees up to 5 years old induces the fascicular buds to differentiate and develops shoots. Treating such shoots from 2-year-old trees with IBA (0.1 percent) and placing them in a heated rooting medium under a 20-hour photoperiod resulted in up to 70 percent rooting (71). Jack pine can be grafted, most successfully using dormant scions and when grafting is done just as the rootstock resumes growth in the spring. Both early and delayed graft incompatibility may occur; the causes are unknown (72). No complete jack pine plants have yet been propagated from either callus tissue or cell suspension cultures (72).",Reproduction and Early Growth,Jack Pine,pinus,banksiana,conifer,13,1
