,sent,category,plant,genus,species,plant_group,category_int
3692,"White oak, red maple (Acer rubrum), and sugar maple are subdominant species.
",Associated Forest Cover,,Carya,glabra,,1
3693,Pignut hickory is an associated species in 20 of the 90 forest cover types listed by the Society of American Foresters for the eastern United States (6):,Associated Forest Cover,,Carya,glabra,,1
3694,Hickories exhibit embryo dormancy which is overcome naturally by overwintering in the duff and litter or artificially by stratification in a moist medium at 1° to 4 °C (33° to 40 °F) for 30 to 150 days.,Reproduction and Early Growth,,Carya,glabra,,13
3695,In forest tree nurseries unstratified hickory nuts are sown in the fall and stratified nuts are sown in the spring.,Reproduction and Early Growth,,Carya,glabra,,13
3696,"Hickories are hypogeously germinating plants, and the nuts seldom remain viable in the forest floor for more than one winter (22).
",Reproduction and Early Growth,,Carya,glabra,,13
3697,Seedling growth of hickories is slow.,Reproduction and Early Growth,,Carya,glabra,,13
3698,"The following height growth of pignut hickory seedlings was reported in the Ohio Valley in the open or under light shade, on red clay soil (2):",Reproduction and Early Growth,,Carya,glabra,,13
3699,"Hickories provide food to many kinds of wildlife (8,13).",Special Uses,,Carya,glabra,,16
3700,The nuts are relished by several species of squirrel and represent an estimated 10 to 25 percent of their diet.,Special Uses,,Carya,glabra,,16
3701,"Hogs were observed consuming the nuts in colonial America, lending the species its common name.",Special Uses,,Carya,glabra,,16
3702,Nuts and flowers are eaten by the wild turkey and several species of songbirds.,Special Uses,,Carya,glabra,,16
3703,"Nuts and bark are eaten by black bears, foxes, rabbits, and raccoons.",Special Uses,,Carya,glabra,,16
3704,Small mammals eat the nuts and leaves; 5 to 10 percent of the diet of eastern chipmunks is hickory nuts.,Special Uses,,Carya,glabra,,16
3705,"White-tailed deer occasionally browse hickory leaves, twigs, and nuts.
",Special Uses,,Carya,glabra,,16
3706,"The kernel of hickory seeds is exceptionally high in crude fat, up to 70 to 80 percent in some species.",Special Uses,,Carya,glabra,,16
3707,"Crude protein, phosphorus, and calcium contents are generally moderate to low.",Special Uses,,Carya,glabra,,16
3708,"Crude fiber is very low.
",Special Uses,,Carya,glabra,,16
3709,Pignut hickory makes up a small percentage of the biomass in low-quality upland hardwood stands that are prime candidates for clearcutting for chips or fuelwood as the first step toward rehabilitation to more productive stands.,Special Uses,,Carya,glabra,,16
3710,"Hickory has a relatively high heating value and is used extensively as a home heating fuel.
",Special Uses,,Carya,glabra,,16
3711,"Pignut hickory is an important shade tree in wooded suburban areas over most of the range but is seldom planted as an ornamental tree because of its size and difficulty of transplanting, although it has spectacular orangey-red fall colors.",Special Uses,,Carya,glabra,,16
3712,Hickories sprout readily from stumps and roots.,Reproduction and Early Growth,,Carya,glabra,,13
3713,Stump sprouting is not as prolific as in other deciduous trees species but the sprouts that are produced are vigorous and grow fairly rapidly in height.,Reproduction and Early Growth,,Carya,glabra,,13
3714,Root sprouts also are vigorous and probably more numerous than stump sprouts in cut-over areas.,Reproduction and Early Growth,,Carya,glabra,,13
3715,Small stumps sprout more frequently than large ones.,Reproduction and Early Growth,,Carya,glabra,,13
3716,Sprouts that originate at or below ground level and from small stumps are less likely to develop heartwood decay.,Reproduction and Early Growth,,Carya,glabra,,13
3717,Pignut hickory is difficult to reproduce from cuttings.,Reproduction and Early Growth,,Carya,glabra,,13
3718,"Historically, acorns from Gambel oak provided a reliable source of food for Native Americans.",Special Uses,,Quercus,gambelii,,16
3719,"If bitter, tannins can be leached from the acorns.",Special Uses,,Quercus,gambelii,,16
3720,"Historically, the Navajo ate the ripened cones in the fall or winter and made a dye from the bark and cones.",Special Uses,,Juniperus,monosperma,,16
3721,They used its wood for various purposes.,Special Uses,,Juniperus,monosperma,,16
3722,"Among the Zuni people, a poultice of the chewed root was applied to increase the strength of newborns and infants.",Special Uses,,Juniperus,monosperma,,16
3723,An infusion of the leaves was also taken for muscle aches and to prevent conception.,Special Uses,,Juniperus,monosperma,,16
3724,An infusion of the leaves was also taken postpartum to prevent uterine cramps and stop vaginal bleeding.,Special Uses,,Juniperus,monosperma,,16
3725,A simple or compound infusion of twigs was used to promote muscular contractions at birth and used after birth to stop blood flow.,Special Uses,,Juniperus,monosperma,,16
3726,"The wood was also used as a favorite and ceremonial firewood, and the shredded, fibrous bark was specifically used as tinder to ignite the fire sticks used for the New Year fire.",Special Uses,,Juniperus,monosperma,,16
3727,"Honey locusts produce a high quality, durable wood that polishes well, but the tree does not grow in sufficient numbers to support a bulk industry.",Special Uses,Honey locust,,,,16
3728,"However, a niche market exists for honey locust furniture.",Special Uses,Honey locust,,,,16
3729,"It is also used for posts and rails because of the dense, rot-resistant nature of the wood.",Special Uses,Honey locust,,,,16
3730,"In the past, the hard thorns of the younger trees were used as nails and the wood itself was used to fashion treenails for shipbuilding.",Special Uses,Honey locust,,,,16
3731,"Hopi chipmunks, quail, foxes, rock squirrels and deer eat the berrylike cones.",Ecology,,Juniperus,monosperma,,6
3732,New Mexico's goats browse the foliage.,Ecology,,Juniperus,monosperma,,6
3733,Humid climate is common throughout the range of the swamp poplar.,Climate,,Populus,heterophylla,,2
3734,Rainfall varies for this species based on how far north it is found.,Climate,,Populus,heterophylla,,2
3735,When found in Indiana the average annual rainfall is about 35 in (890 cm); as opposed to when found in Louisiana average annual rainfall is 59 in (1500 mm).,Climate,,Populus,heterophylla,,2
3736,Yearly average temperatures range in the North and South from 50ºF to 70ºF respectively.,Climate,,Populus,heterophylla,,2
3737,Hymenoscyphus fraxineus is a fungal disease that attacks ash trees.,Threats,,Fraxinus,americana,,19
3738,"The disease causes leaf loss, crown dieback, and lesions in the bark.",Threats,,Fraxinus,americana,,19
3739,"This fungus is, for the most part, fatal, both directly and indirectly, by weakening the tree's immune system so that it is more susceptible to attacks from pests or pathogens.",Threats,,Fraxinus,americana,,19
3740,"Because of this, younger trees are more affected, and fully mature ash trees are incapable of living long enough to reproduce.",Threats,,Fraxinus,americana,,19
3741,"The disease has spread over most of Europe and has been confirmed in Britain, however, it has not yet been found in North America.",Threats,,Fraxinus,americana,,19
3742,"The scale of the threat is not yet known, but is thought to be able to cause significant damage to the ash landscape of Europe and the UK.",Threats,,Fraxinus,americana,,19
3743,I. vomitoria occurs in the United States from the Eastern Shore of Virginia south to Florida and west to Oklahoma and Texas.,Habitat,,Ilex,vomitoria,,8
3744,A disjunct population occurs in the Mexican state of Chiapas.,Habitat,,Ilex,vomitoria,,8
3745,"It generally occurs in coastal areas in well-drained sandy soils, and can be found on the upper edges of brackish and salt marshes, sandy hammocks, coastal sand dunes, inner-dune depressions, sandhills, maritime forests, nontidal forested wetlands, well-drained forests and pine flatwoods.",Habitat,,Ilex,vomitoria,,8
3746,"Ilex amelanchier, the swamp holly or sarvis holly, is a rare species of holly from the southeastern United States.",Summary,,Ilex,amelanchier,,17
3747,It is a close relative of mountain holly (Ilex mucronata) which used to be placed in a monotypic genus Nemopanthus.  ,Summary,,Ilex,amelanchier,,17
3748,"Ilex amelanchier grows near water, for example on streambanks.",Summary,,Ilex,amelanchier,,17
3749,"The dull red drupes appear in October to November, and may persist until the following spring.",Summary,,Ilex,amelanchier,,17
3750,"Its native range is limited to the Atlantic coastal plain and gulf coastal plain, and extends as far south as Florida, as far west as Louisiana, and as far north as North Carolina.

",Summary,,Ilex,amelanchier,,17
3751,"Ilex cassine is a holly native to the southeastern coast of North America, in the United States from Virginia to southeast Texas, in Mexico in Veracruz, and in the Caribbean on the Bahamas, Cuba, and Puerto Rico.",Summary,,Ilex,cassine,,17
3752,"It is commonly known as dahoon holly or cassena, the latter derived from the Timucua name for I. vomitoria.",Summary,,Ilex,cassine,,17
3753,It is a large shrub or small tree growing to 10–13 m tall.,Summary,,Ilex,cassine,,17
3754,"The leaves are evergreen, 6–15 cm long and 2–4 cm broad, glossy dark green, entire or with a few small spines near the apex of the leaf.",Summary,,Ilex,cassine,,17
3755,"The flowers are white, with a four-lobed corolla.",Summary,,Ilex,cassine,,17
3756,"The fruit is a red drupe, 5–6 mm in diameter, containing four seeds.",Summary,,Ilex,cassine,,17
3757,"As with other hollies, it is dioecious with separate male and female plants.",Summary,,Ilex,cassine,,17
3758,"Only the females have berries, and a male pollenizer must be within range for bees to pollinate them.

",Summary,,Ilex,cassine,,17
3759,Ilex cassine is grown in warmer climates as an ornamental plant for the attractive bright red berries set against the glossy green leaves.,Cultivation,,Ilex,cassine,,4
3760,It is known to grow to 30 feet tall.,Cultivation,,Ilex,cassine,,4
3761,"Its original range was close to the coast, but the range has been extended by planting.",Cultivation,,Ilex,cassine,,4
3762,"Ilex cassine leaves, like those of its sister species I. vomitoria, contain measurable amounts of the stimulants caffeine and theobromine.",Special Uses,,Ilex,cassine,,16
3763,"The leaves of both species may have been used in the Native American cassena (the Black drink), and there has been confusion in the literature as to which species was commonly used to brew the drink, but I. vomitoria provides more caffeine and was probably the usual ingredient in cassena.",Special Uses,,Ilex,cassine,,16
3764,"An analysis of the levels of methylxanthines in the leaves used in various stimulant drinks found that I. cassine leaves have about 20% (by dry weight) of the amount of caffeine found in I. vomitoria, 8% of that in Coffea arabica, and about 3% of the caffeine in Camellia sinensis Kunze.",Special Uses,,Ilex,cassine,,16
3765,"I. cassine has twice as much theobromine as I. vomitoria and 20% of the level in C. sinensis Kunze (C. arabica does not contain significant amounts of theobromine), but the stimulant effect of theobromine is just 10% of that of caffeine.",Special Uses,,Ilex,cassine,,16
3766,"Ilex decidua (meadow holly, also called ""possumhaw"", ""deciduous holly"" or ""swamp holly"") is a species of holly native to the United States.",Summary,,Ilex,decidua,,17
3767,"Ilex decidua is a common plant, growing in the US in Alabama, Arkansas, Washington, D.C., Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Missouri, Mississippi, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, and Virginia.",Ecology,,Ilex,decidua,,6
3768,It also grows in the northern Mexico states of Chihuahua and Coahuila.,Ecology,,Ilex,decidua,,6
3769,"It prefers land in floodplains and the margins of swamps or lakes, and grows at elevations up to about 360 m. It can often be found on limestone glades and bluffs, along streams in wet woods, and in lowland valleys, sloughs and swamps.",Ecology,,Ilex,decidua,,6
3770,"Other plant species with which possumhaw is associated include water tupelo (Nyssa aquatica), overcup oak (Quercus lyrata), bald cypress (Taxodium distichum), sycamore (Platanus occidentalis), and hackberry (Celtis spp.).The fruits attract songbirds and small mammals.  ",Ecology,,Ilex,decidua,,6
3771,Bobwhite quail also feed on the fruit.,Ecology,,Ilex,decidua,,6
3772,Deer browse on young twigs.,Ecology,,Ilex,decidua,,6
3773,"Ilex laevigata (Pursh) A. Gray, commonly referred to as smooth winterberry, is a plant species in the Aquifoliaceae (holly family).  ",Summary,,Ilex,laevigata,,17
3774,"It is native to the eastern coastal United States.

",Summary,,Ilex,laevigata,,17
3775,Ilex montana is a deciduous shrub or small tree growing to 9–12 metres (30–39 ft) tall.,Description,,Ilex,montana,,5
3776,"The leaves are 3–9 cm long and 2–5 cm broad, light green, ovate or oblong, wedge-shaped or rounded at the base and acute at apex, with a serrated margin and an acuminate apex; they do not suggest the popular idea of a holly, with no spines or bristles.",Description,,Ilex,montana,,5
3777,The leaves turn yellow before dropping in late autumn.,Description,,Ilex,montana,,5
3778,"The flowers are 4–5 mm diameter, with a four-lobed white corolla, appearing in late spring when the leaves are more than half grown.",Description,,Ilex,montana,,5
3779,"The fruit is a spherical bright red drupe 8–10 mm diameter, containing four seeds.",Description,,Ilex,montana,,5
3780,"Ilex montana, the mountain winterberry (or ""mountain holly"" which is more typically Ilex mucronata), is a species of holly native to the Eastern United States, ranging along the Appalachian Mountains from southeast Massachusetts to northeast Alabama and northern Georgia.",Summary,,Ilex,montana,,17
3781,"Synonyms include Ilex monticola.

",Summary,,Ilex,montana,,17
3782,"Ilex myrtifolia, the myrtle dahoon or myrtle-leaved holly, is a species of holly native to the Southeastern United States.

",Summary,,Ilex,myrtifolia,,17
3783,"Ilex opaca is a medium-sized broadleaved evergreen tree growing on average to 10–20 m (33–66 ft) wide, and up to 30 m (98 ft) tall.",Description,,Ilex,opaca,,5
3784,"Typically, its trunk diameter reaches 50 cm (20 in), sometimes up to 120 cm (47 in).",Description,,Ilex,opaca,,5
3785,"The bark is light gray, roughened by small warty lumps.",Description,,Ilex,opaca,,5
3786,"The branchlets are stout, green at first and covered with rusty down, later smooth and brown.",Description,,Ilex,opaca,,5
3787,"The winter buds are brown, short, obtuse or acute.
",Description,,Ilex,opaca,,5
3788,"The leaves are alternate, 5–7.5 cm (2.0–3.0 in) long and 2–4 cm (0.79–1.57 in) wide, stiff, yellow green and dull matte to sub-shiny above (distinctly less glossy than the otherwise fairly similar European holly Ilex aquifolium), often pale yellow beneath; the edges are curved into several sharp, spike-like points, and a wedge-shaped base and acute apex; the midrib is prominent and depressed, the primary veins conspicuous; the petiole is short, stout, grooved, thickened at base, with a pair of minute stipules.",Description,,Ilex,opaca,,5
3789,"The leaves remain on the branches for two to three years, finally falling in the spring when pushed off by growing buds.

",Description,,Ilex,opaca,,5
3790,"The flowers are greenish white, small, borne in late spring in short pedunculate cymes from the axils of young leaves or scattered along the base of young branches.",Description,,Ilex,opaca,,5
3791,"The calyx is small, four-lobed, imbricate in the bud, acute, margins ciliate, persistent.",Description,,Ilex,opaca,,5
3792,"The corolla is white, with four petal-like lobes united at the base, obtuse, spreading, hypogynous, imbricate in bud.",Description,,Ilex,opaca,,5
3793,The flower stem is hairy with a minute bract at base.,Description,,Ilex,opaca,,5
3794,"Like all hollies, it is dioecious, with separate male and female plants; only female plants produce the characteristic red berries.",Description,,Ilex,opaca,,5
3795,One male can pollenize several females.,Description,,Ilex,opaca,,5
3796,"Male flowers have four stamens, inserted on the base of the corolla, alternate with its lobes; filaments awl-shaped, exserted in the sterile, much shorter in the sterile flower; anthers attached at the back, oblong, introrse, two-celled, cells opening longitudinally.",Description,,Ilex,opaca,,5
3797,"The pistil on female flowers has a superior ovary, four-celled, rudimentary in staminate flowers; style wanting, stigma sessile, four-lobed; ovules one or two in each cell.
",Description,,Ilex,opaca,,5
3798,"The fruit is a small red drupe 6–12 mm diameter containing four seeds; it is often persistent into winter.
",Description,,Ilex,opaca,,5
3799,A ratio of three female plants to one male plant is required for ideal fruit production.,Description,,Ilex,opaca,,5
3800,Subspecies and varietiesIlex opaca subsp.,Description,,Ilex,opaca,,5
3801,arenicola (Ashe) A.E.,Description,,Ilex,opaca,,5
3802,"Murray
Ilex opaca var.",Description,,Ilex,opaca,,5
3803,laxiflora (Lam.),Description,,Ilex,opaca,,5
3804,"Nutt.
",Description,,Ilex,opaca,,5
3805,Ilex opaca subsp.,Description,,Ilex,opaca,,5
3806,"opaca
Ilex opaca var.",Description,,Ilex,opaca,,5
3807,opaca,Description,,Ilex,opaca,,5
3808,"Ilex opaca is often cultivated by plant nurseries for use as a broadleaf evergreen ornamental plant, planted as a shrub or slower growing ornamental tree.",Special Uses,,Ilex,opaca,,16
3809,"Over 1,000 cultivars have been selected, including plants selected for cold tolerance ('Cobalt', a male cultivar, is able to tolerate temperatures as low as −32 °C), growth form (e.g. dwarf forms such as 'Cardinal Hedge', a female plant growing to 1.2 m tall), and color and abundance of fruit (notable female cultivars including the large-berried 'Yule', and the yellow-berried 'Canary' and 'Morgan Gold').",Special Uses,,Ilex,opaca,,16
3810,"With Ilex cassine it is a parent of the hybrid Ilex × attenuata, which has ornamental cultivars.",Special Uses,,Ilex,opaca,,16
3811,"Ilex opaca typically grows as an understory tree in moist forests of the east-central, southeastern, and south-central United States.",Ecology,,Ilex,opaca,,6
3812,"It is found in sparse numbers in the northern part of its range from Cape Cod, Massachusetts, south to northern New Jersey (including southern Connecticut and southeastern New York).",Ecology,,Ilex,opaca,,6
3813,It is abundant further south on the Gulf and Atlantic lowlands.,Ecology,,Ilex,opaca,,6
3814,The branches are short and slender.,Ecology,,Ilex,opaca,,6
3815,The roots are thick and fleshy.,Ecology,,Ilex,opaca,,6
3816,"It will grow in both dry and swampy soil, but grows slowly.  ",Ecology,,Ilex,opaca,,6
3817,Ilex opaca var.,Ecology,,Ilex,opaca,,6
3818,"arenicola, or scrub holly, is found as a shrub component in xeric scrub habitats of the Florida peninsula.",Ecology,,Ilex,opaca,,6
3819,This plant is shade tolerant.,Ecology,,Ilex,opaca,,6
3820,The ideal yearly precipitation average for the species ranges from 102 cm to 165 cm.,Ecology,,Ilex,opaca,,6
3821,"The flowers are pollinated by insects, including bees, wasps, ants, and night-flying moths.",Ecology,,Ilex,opaca,,6
3822,It is a larval host plant for Callophrys henrici.,Ecology,,Ilex,opaca,,6
3823,The tree also forms a thick canopy which offers protection for birds from predators and storms.,Ecology,,Ilex,opaca,,6
3824,"Songbirds including thrushes, mockingbirds, catbirds, bluebirds and thrashers, as well as some gamebirds and mammals frequently feed on the berries.",Ecology,,Ilex,opaca,,6
3825,"Ilex opaca, the American holly, is a species of holly, native to the eastern and south-central United States, from coastal Massachusetts south to central Florida, and west to southeastern Missouri and eastern Texas.",Summary,,Ilex,opaca,,17
3826,"Ilex verticillata – the American winterberry – is prized as an ornamental plant in gardens for the midwinter splash of bright color from densely packed berries, whose visibility is heightened by the loss of foliage; therefore it is popular even where other, evergreen, hollies are also grown.",Special Uses,,Ilex,verticillata,,16
3827,"The bare branches covered in berries are also popular for cutting and use in floral arrangements.
",Special Uses,,Ilex,verticillata,,16
3828,"It is easy to grow, with very few diseases or pests.",Special Uses,,Ilex,verticillata,,16
3829,"Although wet acidic soils are optimal, the winterberry will grow well in the average garden.",Special Uses,,Ilex,verticillata,,16
3830,"Numerous cultivars are available, differing in size and shape of the plant and color of the berry.",Special Uses,,Ilex,verticillata,,16
3831,At least one male plant must be planted in proximity to one or more females for them to bear fruit.,Special Uses,,Ilex,verticillata,,16
3832,"Because both females and males come in early- and late-flowering varieties, males must be selected to have same timing as the females they are intended to pollinate.",Special Uses,,Ilex,verticillata,,16
3833,Ilex verticillata is a shrub growing to 1–5 m (3–16 ft) tall.,Description,,Ilex,verticillata,,5
3834,"It is one of a number of hollies which are deciduous, losing their leaves in the fall.",Description,,Ilex,verticillata,,5
3835,"In wet sites, it will spread to form a dense thicket, while in dry soil it remains a tight shrub.",Description,,Ilex,verticillata,,5
3836,"The leaves are glossy green, 3.5–9 cm (1+3⁄8–3+1⁄2 in) long, 1.5–3.5 cm (5⁄8–1+3⁄8 in) broad, with a serrated margin and an acute apex.",Description,,Ilex,verticillata,,5
3837,"The flowers are small, 5 mm (0.20 in) in diameter, with five to eight white petals.
",Description,,Ilex,verticillata,,5
3838,"The fruit is a globose red drupe 6–8 mm (0.24–0.31 in) in diameter, which often persists on the branches long into the winter, giving the plant its English name.",Description,,Ilex,verticillata,,5
3839,"Like most hollies, it is dioecious, with separate male and female plants; the proximity of at least one male plant is required to pollenize the females in order to bear fruit.",Description,,Ilex,verticillata,,5
3840,"Ilex verticillata, the winterberry, is a species of holly native to  eastern North America in the United States and southeast Canada, from Newfoundland west to Ontario and Minnesota, and south to Alabama.",Summary,,Ilex,verticillata,,17
3841,"Other names that have been used include black alder, Canada holly, coralberry, fever bush, Michigan holly, or winterberry holly.",Summary,,Ilex,verticillata,,17
3842,"The species occurs particularly in wetland habitats, but also on dry sand dunes and grassland.",Summary,,Ilex,verticillata,,17
3843,"The berries are an important food resource for some species of bird, among them the American robin.",Summary,,Ilex,verticillata,,17
3844,Ilex vomitoria is a common landscape plant in the Southeastern United States.  ,Special Uses,,Ilex,vomitoria,,16
3845,"The most common cultivars are slow-growing shrubs popular for their dense, evergreen foliage and their adaptability to pruning into hedges of various shapes.",Special Uses,,Ilex,vomitoria,,16
3846,"These include:

'Folsom Weeping' – weeping cultivar
'Grey's Littleleaf'/'Grey's Weeping' – weeping cultivar
'Nana'/'Compacta' – dwarf female clone usually remaining below 1 m in height.
",Special Uses,,Ilex,vomitoria,,16
3847,"'Pride of Houston' – female clone similar to type but featuring improvements in form, fruiting, and foliage.
",Special Uses,,Ilex,vomitoria,,16
3848,"'Schilling's Dwarf'/'Stokes Dwarf' – dwarf male clone that grows no more than 0.6 m tall and 1.2 m wide.
'Will Fleming' – male clone featuring a columnar growth habit.
",Special Uses,,Ilex,vomitoria,,16
3849,"'Pendula' – ""weeping"" variety.",Special Uses,,Ilex,vomitoria,,16
3850,Has the highest caffeine content.,Special Uses,,Ilex,vomitoria,,16
3851,"Ilex vomitoria, commonly known as yaupon () or yaupon holly, is a species of holly that is native to southeastern North America.",Summary,,Ilex,vomitoria,,17
3852,"The word yaupon was derived from the Catawban yą́pą, from yą- tree + pą leaf.  ",Summary,,Ilex,vomitoria,,17
3853,"Another common name, cassina, was borrowed from Timucua (despite this, it usually refers to Ilex cassine).",Summary,,Ilex,vomitoria,,17
3854,"The Latin name comes from an incorrect belief by Europeans that the plant caused vomiting in certain ceremonies.
",Summary,,Ilex,vomitoria,,17
3855,The plant was traditionally used by Native Americans to make an infusion containing caffeine.,Summary,,Ilex,vomitoria,,17
3856,It is only one of two known plants endemic to North America that produce caffeine.,Summary,,Ilex,vomitoria,,17
3857,"The other (containing 80% less) is Ilex cassine, commonly known as dahoon holly.  ",Summary,,Ilex,vomitoria,,17
3858,Yaupon is also widely used for landscaping in its native range.,Summary,,Ilex,vomitoria,,17
3859,In 1838 this novel species was described by George Arnott Walker-Arnott from specimens sent to John Torrey and collected in Florida by Hardy Bryan Croom.,Taxonomy,,Torreya,taxifolia,,18
3860,Arnott commemorated Torrey in the generic epithet.,Taxonomy,,Torreya,taxifolia,,18
3861,"The etymology of the specific epithet is from Latin taxus, meaning 'yew', and folium, meaning 'leaf': i.e., 'yew-leaved'.",Taxonomy,,Torreya,taxifolia,,18
3862,"Other species of Torreya have longer, less yew-like leaves, but this is not the reason that it was given this name, as the other species were described after this one.",Taxonomy,,Torreya,taxifolia,,18
3863,"The University of North Carolina Herbarium has a single specimen, originally from the Jesup Herbarium of Dartmouth College, sent by Croom in 1833 from the ""Apalache River"" (now, Apalachicola River).",Taxonomy,,Torreya,taxifolia,,18
3864,"Curiously, it was first labelled as ""Taxus montana Willd.",Taxonomy,,Torreya,taxifolia,,18
3865,""", a South American tree, which was then later changed to Podocarpus taxifolia from southern New Zealand, and finally relabelled as Torreya taxifolia.",Taxonomy,,Torreya,taxifolia,,18
3866,Taxonomic and naming changes also occurred when European botanists analyzed herbarium samples.,Taxonomy,,Torreya,taxifolia,,18
3867,"The species was moved to the junior synonym Caryotaxus taxifolia in 1865 by Johann Baptist Henkel and Wilhelm Christian Hochstetter in their monograph on the conifers of the world, Synopsis der Nadelhölzer.",Taxonomy,,Torreya,taxifolia,,18
3868,In 1873 Karl Heinrich Emil Koch moved the species to Foetataxus taxifolia.,Taxonomy,,Torreya,taxifolia,,18
3869,"In 1891 Edward Lee Greene validated Constantine Samuel Rafinesque-Schmaltz's generic epithet Tumion and erroneously moved this species there as Tumion taxifolium.

",Taxonomy,,Torreya,taxifolia,,18
3870,"In Thomas Nuttall's entry about Torreya taxifolia in his book about American trees, which was published in 1849 although it had been for the most part completed in 1841, he relates that in the correspondence Torrey had sent him, mention had been made of specimens of another species of taxoid tree which had been sent to him by Croom from the same region.",Taxonomy,,Torreya,taxifolia,,18
3871,"To this plant Nuttall ""doubtfully attaches the name"" Taxus montana, somewhat of a nomen nudum, because Nuttall never actually described the plant besides quoting a summary description from Torrey's letter to him.",Taxonomy,,Torreya,taxifolia,,18
3872,"Nuttall is doubtful about the taxon, because according to him it seems ""scarcely distinct"" from T. brevifolia of the Pacific Northwest.",Taxonomy,,Torreya,taxifolia,,18
3873,"Following the publication of this work, however, he was attributed as the author of this scientific name.",Taxonomy,,Torreya,taxifolia,,18
3874,By 1865 this name was misapplied to Torreya taxifolia under the name Torreya montana.,Taxonomy,,Torreya,taxifolia,,18
3875,Henkel and Hochstetter synonymised this taxon with T. taxifolia in their work mentioned above.,Taxonomy,,Torreya,taxifolia,,18
3876,"According to the Index Kewensis this was in error; the name Taxus montana had actually already been given to a species, now Prumnopitys montana, described (validated, in fact) in 1806 by Carl Ludwig Willdenow from specimens collected by Alexander von Humboldt and Aimé Bonpland on their famous scientific exploration of the Americas, and Nuttall had in fact referred to Willdenow's species.",Taxonomy,,Torreya,taxifolia,,18
3877,"John Nelson, in his more utilitarian as opposed to scientific 1866 horticultural handbook of firs and pines for growing in Britain, introduced the name Foetataxus montana to write about Torreya taxifolia, apparently unaware of the German publication the previous year.",Taxonomy,,Torreya,taxifolia,,18
3878,"In fact, all these sources were wrong, for Nuttall states that he found a newer specimen of Croom's, of the same taxon, in the Herbarium of the Academy of Natural Sciences of Philadelphia labelled as Taxus floridana!",Taxonomy,,Torreya,taxifolia,,18
3879,"Despite that the original synonymy with T. floridana, all these names are still maintained in the synonymy of Torreya taxifolia in some modern databases as of 2020.",Taxonomy,,Torreya,taxifolia,,18
3880,"In 1901, Charles Sprague Sargent chose a lectotype for Crataegus coccinea from among Linnaeus's specimens, but chose a specimen that resembles C. dodgei Ashe.",Taxonomy,,Crataegus,coccinea,,18
3881,Sargent's lectotype opinion was followed by other authors until he realized his error and corrected it in 1909.,Taxonomy,,Crataegus,coccinea,,18
3882,The name C. coccinea has also been misapplied to specimens of C. intricata Lange.,Taxonomy,,Crataegus,coccinea,,18
3883,"For almost 100 years, particularly since 1910, this species was generally called Crataegus pedicellata Sarg.",Taxonomy,,Crataegus,coccinea,,18
3884,except by a few authors.,Taxonomy,,Crataegus,coccinea,,18
3885,"Linnaeus's original description was inadequate to make a decision between various unrelated species, including C. nigra, C. phaenopyrum, and C. mollis.",Taxonomy,,Crataegus,coccinea,,18
3886,"A component of the 2003 lectotype decision was that John Claudius Loudon had founded series Coccineae on C. coccinea, which includes C. pedicellata, to which Linnaeus's specimen 187 of the Clifford Herbarium (now at the British Museum) is considered to belong.",Taxonomy,,Crataegus,coccinea,,18
3887,"With this taxonomy, C. pedicellata Sarg. is a heterotypic synonym of C. coccinea L.",Taxonomy,,Crataegus,coccinea,,18
3888,"In 1974, a group of giant sequoias was planted by the United States Forest Service in the San Jacinto Mountains of Southern California in the immediate aftermath of a wildfire that left the landscape barren.",Conservation,,Sequoiadendron,giganteum,,3
3889,The giant sequoias were rediscovered in 2008 by botanist Rudolf Schmid and his daughter Mena Schmidt while hiking on Black Mountain Trail through Hall Canyon.,Conservation,,Sequoiadendron,giganteum,,3
3890,"Black Mountain Grove is home to over 150 giant sequoias, some of which stand over 6.1 m (20 ft) tall.",Conservation,,Sequoiadendron,giganteum,,3
3891,This grove is not to be confused with the Black Mountain Grove in the southern Sierra.,Conservation,,Sequoiadendron,giganteum,,3
3892,"Nearby Lake Fulmor Grove is home to seven giant sequoias, the largest of which is 20 m (66 ft) tall.",Conservation,,Sequoiadendron,giganteum,,3
3893,"The two groves are located approximately 175 mi (282 km) southeast of the southernmost naturally occurring giant sequoia grove, Deer Creek Grove.",Conservation,,Sequoiadendron,giganteum,,3
3894,It was later discovered that the United States Forest Service had planted giant sequoias across Southern California.,Conservation,,Sequoiadendron,giganteum,,3
3895,"However, the giant sequoias of Black Mountain Grove and nearby Lake Fulmor Grove are the only ones known to be reproducing and propagating free of human intervention.",Conservation,,Sequoiadendron,giganteum,,3
3896,"The conditions of the San Jacinto Mountains mimic those of the Sierra Nevada, allowing the trees to naturally propagate throughout the canyon.",Conservation,,Sequoiadendron,giganteum,,3
3897,"In 2010, a forest pathologist at the University of Florida, Jason A. Smith, along with his graduate assistant, Aaron Trulock, published a Cooperative Extension Service ""fact sheet"" on Florida torreya that reported their discovery of the fungal cause of stem cankers.",Threats,,Torreya,taxifolia,,19
3898,"Resolution of the canker cause was crucial, as it was stem death (rather than periodic leaf death) that proved lethal to above-ground portions of torreya.",Threats,,Torreya,taxifolia,,19
