text,category,plant,genus,species,plant_group,category_int
"Extensive confusion between the chestnut oak (Quercus montana) and the swamp chestnut oak (Quercus michauxii) has occurred, and some botanists have considered them to be the same species in the past.
The name Quercus prinus was long used by many botanists and foresters for either the chestnut oak or the swamp chestnut oak, with the former otherwise called Q. montana or the latter otherwise called Q. michauxii. The application of the name Q. montana to the chestnut oak is now accepted, since Q. prinus is of uncertain position, unassignable to either species.The Latin specific epithet montana refers to mountains or coming from mountains which probably refers to the tree's habitat and its ability to grow on rocks.",Taxonomy,,Quercus,montana,,18
"Eysenhardtia orthocarpa is a species of small flowering tree, (a kidneywood) in the family Fabaceae. Its range is at the northern region of the Sierra Madre Occidental cordillera of eastern Sonora; it is also in central Sonora, with the species ranging into southeast Arizona and the extreme southwest, bootheel region of New Mexico, the entire sky island region at the northern cordillera called Madrean Sky Islands.

",Summary,,Eysenhardtia,orthocarpa,,17
"Eysenhardtia texana, commonly known as Texas kidneywood, bee-brush, or vara dulce, is a species of small flowering tree in the legume family, Fabaceae. It is found from south-central Texas south to northern San Luis Potosí in the Rio Grande Valley region of south Texas–Northeastern Mexico, and the species ranges into the eastern Chihuahuan Desert areas of Coahuila.

",Summary,,Eysenhardtia,texana,,17
"Fagus grandifolia is a large deciduous tree growing to 16–35 metres (52–115 feet) tall, with smooth, silver-gray bark. The leaves are dark green, simple and sparsely-toothed with small teeth that terminate each vein, 6–12 centimetres (2+1⁄4–4+3⁄4 inches) long (rarely 15 cm or 6 in), with a short petiole. The winter twigs are distinctive among North American trees, being long and slender (15–20 millimetres or 5⁄8–3⁄4 inch by 2–3 mm or 3⁄32–1⁄8 in) with two rows of overlapping scales on the buds. Beech buds are distinctly thin and long, resembling cigars; this characteristic makes beech trees relatively easy to identify. The tree is monoecious, with flowers of both sexes on the same tree. The fruit is a small, sharply-angled nut, borne in pairs in a soft-spined, four-lobed husk. It has two means of reproduction: one is through the usual dispersal of seedlings, and the other is through root sprouts, which grow into new trees.",Description,,Fagus,grandifolia,,5
"Fagus grandifolia, the American beech or North American beech, is a species of beech tree native to the eastern United States and extreme southeast of Canada.

",Summary,,Fagus,grandifolia,,17
"Fire has long been an important element in Southeastern forests. Native Americans burned land to improve grass growth for grazing and visibility for hunting. When European settlers arrived in the New World, they brought new diseases that severely diminished the Native American populations. Over time, with the lack of consistent burning, much of the open land of the South reverted to forest land. Logging began to increase in the Southeast, which created some tension between the loggers and local farmers. The loggers wanted to continue to burn the forest, but the local farmers were concerned about how burning would affect cattle grazing and turpentine production. Fire maintenance has long been a controversial issue. In the 1940s, the Smokey Bear campaign to prevent wildfires promoted a shift toward fire suppression. Subsequently, many of these fire-dependent ecosystems became increasingly dominated by more shade-tolerant tree species (hardwoods). Despite many reports from the U.S. Forest Service about the benefits fire has on forage production, pine regeneration, control of tree pathogens, and reducing risks of wildfires, controlled burning did not begin to regain traction until the 1950s and 1960s.",Life History,,Pinus,elliottii,,10
"First described in the genus Cupressus as Cupressus nootkatensis in 1824, it was transferred to Chamaecyparis in 1841 on the basis of its foliage being in flattened sprays, as in other Chamaecyparis, but unlike most (though not all) other Cupressus species.
However, this placement does not fit with the morphology and phenology of the cones, which are far more like Cupressus, maturing in two years rather than one. Genetic evidence, published by Gadek et al., strongly supported its return to Cupressus and exclusion from Chamaecyparis.
More recently, Farjon et al. (2002) transferred it to a new genus Xanthocyparis, together with the newly discovered Vietnamese golden cypress Xanthocyparis vietnamensis; this species is remarkably similar to Nootka cypress and the treatment has many arguments in its favour, as while they are not related to Chamaecyparis, neither do they fit fully in Cupressus despite the many similarities.
Little et al. confirmed this relationship with further evidence and pointed out that an earlier nomenclatural combination in the genus Callitropsis existed, as Callitropsis nootkatensis (D.Don) Oerst., published in 1864 but overlooked or ignored by other subsequent authors. Little et al. therefore synonymised Xanthocyparis with Callitropsis, the correct name for these species under the ICBN when treated in a distinct genus. The name Xanthocyparis has now been proposed for conservation, and the 2011 International Botanical Congress followed that recommendation.In 2010, Mao et al. performed a more detailed molecular analysis and placed Nootka cypress back in Cupressus. This was disputed, as the tree would compose a monophyletic subgenus, but the Gymnosperm Database suggested that it could comprise a monotypic genus as Callitropsis nootkatensis.
In 2021, a molecular study by Stull et al. found the species to indeed belong to the distinct genus Callitropsis and recovered this as the sister genus to Hesperocyparis. The clade comprising both was found to be sister to Xanthocyparis (containing only the Vietnamese golden cypress), and the clade containing the three genera was found to be sister to a clade containing Juniperus and Cupressus sensu stricto.",Taxonomy,,Callitropsis,nootkatensis,,18
"Flowering and fruiting- Flowers are perfect. Flower bud formation is visible by the time new leaves fully expand. The peduncle expands rapidly and the young bud slowly enlarges until it opens. Flower buds at the top of the tree open first. Flowers are first seen from the last week in June to the first week of July and may be seen until mid-August. Flowers remain open for 1 or 2 days and are pollinated by humble bees, thrips, flies, and hummingbirds. After the second day the sepals and petals fall, leaving the ovary at the end of the peduncle.
Seed production and dissemination- As the ovaries develop they gradually turn brown and five sutures develop. Mature, open capsules are first seen during September or October, and all of the capsules open by the middle of December. Seeds are shaken out of the capsules by the wind and empty capsules remain attached until peduncle and capsule abscission, which first occurs about the last of December and continues through the winter.
Seedfall starts in October, peaks in December, and continues until the first of March. Loblolly-bay seeds are light (120,000 to 151,000/lb or 265,000 to 333,000/kg) and winged. Results from one study indicated that approximately 99 percent of the seeds produced fall within two tree heights of the source tree. This study also indicated that this distribution of seedfall is concentrated near the source tree, 60 percent of the seeds falling within a distance equal to one-half of the tree height, and 94 percent of the seeds falling within a distance equal to the tree height. Seedfall rates during a 2-year study varied from 2,600 to 273,000/ha (1,070 to 110,400/acre).
Seedling development- Seed germination in petri dishes in sunlight is high: 70 to 80 percent within 10 days. In a greenhouse heated at 13 °C to 16 °C (55 °F to 60 °F), similar germination percentages were obtained but up to 24 days were required. Germination is epigeal. Very few seedlings have been observed in the field and most of those seen apparently do not live past the first season. Loblolly-bay seedlings seem to require relatively open conditions and exposed soil for establishment. Older seedlings have only been observed where the mineral soil has been disturbed such as in recently plowed fire lines.
Initial growth of the seedlings is slow. Field observations indicated that by the end of the third growing season the seedlings were about 10 to 15 cm (4 to 6 in) tall and by the eighth growing season they were only 30 to 40 cm (12 to 16 in) high.
Vegetative reproduction- Vegetative propagation of first-year shoots in a peat and sand medium under mist is commonly used by horticulturists (1). In the field, vegetative regeneration appears to be more common than regeneration from seed. Stump sprouts may grow as much as 1 m (3 ft) in the first year after the tree is cut. These stump sprouts appear to be very attractive to deer and heavy browsing has been noticed.
Numerous root-collar sprouts are produced when the trees are killed by fire (9) or if the root system is mechanically damaged by a logging or disking operation.",Reproduction and Early Growth,,Gordonia,lasianthus,,13
"Flowering and fruiting- Hickories are monoecious and flower in the spring (3). The staminate catkins of pignut hickory are 8 to 18 cm (3 to 7 in) long and develop from axils of leaves of the previous season or from inner scales of the terminal buds at the base of the current growth. The pistillate flowers appear in spikes about 6 mm (0.25 in) long on peduncles terminating in shoots of the current year. Flowers open from the middle of March in the southeast part (Florida) of the range to early June in Michigan. The catkins usually emerge before the pistillate flowers.
The fruit of hickory is pear shaped and enclosed in a thin husk developed from the floral involucre. The fruit ripens in September and October, and seeds are dispersed from September through December. Husks are green until maturity; they turn brown to brownish-black as they ripen. The husks become dry at maturity and split away from the nut into four valves along sutures. Husks of pignut hickory split only to the middle or slightly beyond and generally cling to the nut, which is unribbed, with a thick shell.",Reproduction and Early Growth,,Carya,glabra,,13
"For Asimina species, pollen is released in aggregates as tetrad structures held together by viscin threads. A. tetramera emits a foul odor as it matures and pollen is released. This foul odor is used to mimic the odor of both fermenting fruit and feces in order to diversify the types of pollinators that visit it.A. tetramera flowers are primarily pollinated by beetles. The 3 inner petals of the flower form a chamber that beetles occupy between the female and male phases of floral development. Beetles feed on grooved structures covering the stamen, inner petal tissue, and pollen grains as they are released after maturation. Beetles leave the flower after the petals fall with pollen on their elytra (forewings), legs, and mouth parts which they may transfer to another flower.Flowers are also pollinated by several types of flies and wasps that are attracted to their foul odor.Cox (1998) surveyed the two largest known populations of A. tetramera for insect interactions. The zebra longhorn beetle was observed visiting A. tetramera flowers the most. Beetles represented 12 out 17 visitor species.",Reproduction and Early Growth,,Asimina,tetramera,,13
"For centuries, black haw has been used for medical purposes, mainly for gynecological conditions. The bark is the part of the plant used in treatments.The active components include scopoletin, aesculetin, salicin, 1-methyl-2,3 dibutyl hemimellitate, and viburnin. Tannin is another chemical component of black haw.Native Americans used a decoction of black haw to treat gynecological conditions, including menstrual cramps, aiding recovery after childbirth, and in treating the effects of menopause. As a folk remedy, black haw has been used to treat menstrual pain, and morning sickness. Due to its antispasmodic properties, the plant may also be of use in treating cramps of the digestive tract or the bile ducts.Black haw's primary use was to prevent miscarriages. American slaveholders also used the plant to prevent abortions. Slaves were a valuable asset, and their owner also owned their offspring, so ensuring that female slaves gave birth was of paramount importance. In defiance, some slave women would attempt to use cotton seeds to cause a miscarriage. The slaveowners would therefore force pregnant slaves to drink an infusion of black haw to prevent that.The primary use of black haw today is to prevent menstrual cramps. The salicin in black haw may also be of use in pain relief.",Special Uses,,Viburnum,prunifolium,,16
"For thousands of years Native Americans used Balsam fir for medicinal and therapeutic purposes. The needles are digested directly off the tree by many animals and humans. Higher content dosage is ingested in tea. Balsam Fir contains vitamin C, which has been studied for its effects on bacterial and viral infections.",Special Uses,,Abies,balsamea,,16
"Forest succession in its traditional sense implies two important features that resist direct examination. First, classical definitions generally connote directional changes in species composition and community structure through time, yet the time frame needed for documentation of change far exceeds an average lifespan. The second feature that defies quantitative description is the end point or climax.
Floodplain deposits in the Northwest Territory, Canada, are important in relation to the development of productive forest types with a component of white spruce. The most recently exposed surfaces are occupied by sandbar vegetation or riparian shrub willows and Alnus incana. With increasing elevation, the shrubs give way successively to balsam poplar and white spruce forest. In contrast, older floodplains, with predominantly brown wooded soils, typically carry white spruce–trembling aspen mixedwood forest.
Interrelationships among nutrient cycling, regeneration, and subsequent forest development on floodplains in interior Alaska were addressed by Van Cleve et al., who pointed out that the various stages in primary succession reflect physical, chemical, and biological controls of ecosystem structure and function. Thus, each successional stage has a species combination in harmony with site quality. Short-circuiting succession by planting a late successional species such as white spruce on an early successional surface may result in markedly reduced growth rates because of nitrogen insufficiency. Without application of substantial amounts of fertilizer, use would have to be made of early successional alder and its site-ameliorating additions of nitrogen.

Neiland and Viereck noted that “the slow establishment and growth of spruce under birch stands [in Alaska] may be partially due to effects of shading and general competition for water and nutrients, but may also be more directly related to the birch itself. Heikinheimo found that birch ash inhibited white spruce seedlings, and Gregory found that birch litter has a smothering effect on spruce seedlings."".On dry upland sites, especially south-facing slopes, the mature vegetation is white spruce, white birch, trembling aspen, or a combination of these species. Succession follows in one of two general patterns. In most cases, aspen and birch develop as a successional stage after fire before reaching the spruce stage. But, occasionally, with optimal site conditions and a source of seed, white spruce will invade with the hardwoods or within a few years thereafter, thereby producing even-aged white spruce stands without an intervening hardwood stage.",Associated Forest Cover,,Picea,glauca,,1
"Form: A low shrub to 2 metres (6+1⁄2 feet) or occasionally a small tree, Q. havardii  forms large clonal thickets by extending rhizomes through the sandy soil where it is usually found.  Rhizomes range from 3–15 centimetres (1+1⁄4–6 inches) in diameter and are concentrated in the upper 60 cm (24 in) of soil, although penetration depths of 9 m (30 ft) have been reported in shifting dunes. Lateral roots and woody rhizomes are widespread near the soil surface. At least 90% of shinnery oak's biomass is underground, and fortuitous root grafting is common. These underground stems commonly spread to form plants 3 to 15 m (10 to 49 ft) or more in diameter. Single clones are reported to cover up to 81 hectares (200 acres) and to achieve ages over 13,000 years.Flowers:  Shinnery oak is monoecious with both female and male flowers borne separately on the same plant. Male catkins are densely flowered, 1.5–3.8 cm long, and hang downward. Female catkins are 3–7 millimetres (1⁄8–1⁄4 in) long, contain 1 to 5 flowers, and are usually axillary on young shoots.  Shinnery oaks are wind pollinated, and flowering occurs in the spring.
Acorns: Acorns develop in one year, maturing in the autumn. Acorns occur alone or in clusters of 2 or 3, and are 12–25 mm (1⁄2–1 in) long by 14–18 mm wide. A scaly cup covers about 1/3 to 1/2 of the nut. On average, acorn crops are produced in 3 out of 10 years.Foliage:  The leathery, highly variable leaves are grey green to olive green, have a lustrous upper surface, and are whitish and densely hairy below.   The leaves are alternate, simple, with variable shape (oblong, ovate, or elliptical), and with wavy or shallowly lobed margins. Their length is 2 to 8 cm (3⁄4 to 3+1⁄8 in) and width 2 to 4 cm.Twigs:  Twigs are brown or grayish, 1–2.5 mm diameter, glabrous or densely covered with short grayish or yellowish hairs, that are lost with age. The buds are dark red-brown, somewhat spherical, about 2 mm long, and sparsely pubescent.
Bark:  Bark on the larger stems is light gray and scaly.",Description,,Quercus,havardii,,5
"Formerly threatened through excess logging, sequoias are now threatened by both a combination of fire and fire suppression, along with drought and climate change. Fire suppression caused by European land management practices promotes the excessive growth of smaller trees such as fir, which can dry out in droughts, especially those fueled by climate change, and serve as a fuel load for devastating crown fires fueled by strong winds, which can kill large amounts of sequoias. One such fire, the Castle Fire of 2020, is thought to have wiped out almost 10–14% of the species' whole population, or 7500–10,600 mature trees, including potentially the King Arthur Tree, the 10th tallest known individual. 3 to 5% more, or 2,261–3,637 sequoias, are thought to have died during the KNP Complex and Windy Fire in 2021, with a combined total of 13–19%. The most effective remedy for these impacts is heavy prescribed burning, which will need to be multiplied by 30 times current burning practices in order to ensure heathy sequoia groves.",Threats,,Sequoiadendron,giganteum,,19
"Frangula purshiana (cascara, cascara buckthorn, cascara sagrada, bearberry, and in the Chinook Jargon, chittem stick and chitticum stick; syn. Rhamnus purshiana) is a species of plant in the family Rhamnaceae. It is native to western North America from southern British Columbia south to central California, and eastward to northwestern Montana.
The dried bark of cascara was used as a laxative in folk medicine by the indigenous peoples of the Pacific Northwest, and later worldwide in conventional medicines until 2002.",Summary,,Frangula,purshiana,,17
"Franklinia alatamaha is a small deciduous tree growing to 10 m (33 ft) tall, but commonly 4.5–7.5 m (15–25 ft). It is prized for its fragrant white flowers, similar to single white Camellia blossoms; the smell may remind some of orange blossoms or honeysuckle. The tree has a symmetrical, somewhat pyramidal shape, often with different individuals of the species forming almost identical crowns. It frequently suckers and can form several vertical trunks close to ground level. The bark is gray with vertical white striations and has a ridged texture. The alternate, obovate leaves are up to 6 in (15 cm) in length and turn a bright orange-red in the fall. Although difficult to transplant, once established, F. alatamaha can live a century or more.
The seed capsules require 12–14 months to mature. Unlike almost all angiosperms, Franklinia alatamaha exhibits zygotic dormancy. It pollinates in late summer or early autumn, is then dormant over winter, and only sets fruit during the subsequent summer. Female gametophytes are mature prior to pollination, with double fertilization occurring soon after pollination. The zygote becomes dormant immediately after fertilization with delay of development until the following summer. Initial development of endosperm occurs for up to 3 months after fertilization but comes to a standstill at winter's onset. With onset of the following summer, embryogenesis begins and endosperm development restarts. This overwinter zygotic dormancy is extremely rare among temperate angiosperms. When ripe the pentavalved spherical capsules split above and below in a unique manner.",Description,,Franklinia,,,5
"Franklinia alatamaha is a small deciduous tree growing to 10 m (33 ft) tall, but commonly 4.5–7.5 m (15–25 ft). It is prized for its fragrant white flowers, similar to single white Camellia blossoms; the smell may remind some of orange blossoms or honeysuckle. The tree has a symmetrical, somewhat pyramidal shape, often with different individuals of the species forming almost identical crowns. It frequently suckers and can form several vertical trunks close to ground level. The bark is gray with vertical white striations and has a ridged texture. The alternate, obovate leaves are up to 6 in (15 cm) in length and turn a bright orange-red in the fall. Although difficult to transplant, once established, F. alatamaha can live a century or more.
The seed capsules require 12–14 months to mature. Unlike almost all angiosperms, Franklinia alatamaha exhibits zygotic dormancy. It pollinates in late summer or early autumn, is then dormant over winter, and only sets fruit during the subsequent summer. Female gametophytes are mature prior to pollination, with double fertilization occurring soon after pollination. The zygote becomes dormant immediately after fertilization with delay of development until the following summer. Initial development of endosperm occurs for up to 3 months after fertilization but comes to a standstill at winter's onset. With onset of the following summer, embryogenesis begins and endosperm development restarts. This overwinter zygotic dormancy is extremely rare among temperate angiosperms. When ripe the pentavalved spherical capsules split above and below in a unique manner.",Description,,Franklinia,alatamaha,,5
"Franklinia is a monotypic genus in the tea family, Theaceae. The sole species in this genus is a flowering tree, Franklinia alatamaha,  commonly called the Franklin tree, and native to the Altamaha River valley in Georgia in the southeastern United States. It has been extinct in the wild since the early 19th century, but survives as a cultivated ornamental tree.
In the past, some botanists have included Franklinia within the related genus Gordonia. The southeastern North American species Gordonia lasianthus differs in having evergreen foliage, flowers with longer stems, winged seeds, and conical seed capsules. (Franklinia was often known as Gordonia pubescens until the middle of the 20th century.)
Franklinia is now thought to be closer in relation to the Asian genus Schima. Recent DNA studies and examinations of floral ontogeny in the Theaceae place Franklinia together with Gordonia and Schima in a subtribe. Hybrid crosses have been produced between Franklinia alatamaha and Gordonia lasianthus, and between Franklinia alatamaha and Schima argentea.",Summary,,Franklinia,,,17
"Franklinia is a monotypic genus in the tea family, Theaceae. The sole species in this genus is a flowering tree, Franklinia alatamaha,  commonly called the Franklin tree, and native to the Altamaha River valley in Georgia in the southeastern United States. It has been extinct in the wild since the early 19th century, but survives as a cultivated ornamental tree.
In the past, some botanists have included Franklinia within the related genus Gordonia. The southeastern North American species Gordonia lasianthus differs in having evergreen foliage, flowers with longer stems, winged seeds, and conical seed capsules. (Franklinia was often known as Gordonia pubescens until the middle of the 20th century.)
Franklinia is now thought to be closer in relation to the Asian genus Schima. Recent DNA studies and examinations of floral ontogeny in the Theaceae place Franklinia together with Gordonia and Schima in a subtribe. Hybrid crosses have been produced between Franklinia alatamaha and Gordonia lasianthus, and between Franklinia alatamaha and Schima argentea.",Summary,,Franklinia,alatamaha,,17
"Fraxinus americana, the white ash or American ash, is a species of ash tree native to eastern and central North America.
The species is native to mesophytic hardwood forests from Nova Scotia west to Minnesota, south to northern Florida, and southwest to eastern Texas. Isolated populations have also been found in western Texas, Wyoming, and Colorado, and the species is reportedly naturalized in Hawaii.There are an estimated 8 billion ash trees in the United States – the majority being the white ash trees and the green ash trees.",Summary,,Fraxinus,americana,,17
"Fraxinus anomala is a deciduous shrub or small tree approaching maximum heights of five to six meters. The leaf may be simple or it may be compound, composed of up to five leaflets which look like individual leaves. Each leaflet is oval-shaped to round and may have teeth along the edges. The nondescript brownish flowers lack petals. The fruit is a flat samara up to two centimeters long and one wide, green when young and tan to brown when mature. The samaras hang in bunches.",Description,,Fraxinus,anomala,,5
"Fraxinus anomala is a species of ash tree known by the common name single-leaf ash. It is native to the southwestern United States and northern Mexico, where it grows in a number of habitats including desert scrub and chaparral. It is unusual in the genus in that some (though not all) specimens have simple leaves instead of the pinnate leaves more characteristic of the group.

",Summary,,Fraxinus,anomala,,17
"Fraxinus caroliniana, the pop ash, Florida ash, swamp ash, Carolina ash, or water ash, is a species of ash tree native from Cuba through the subtropical southeastern United States from southern Virginia to Texas. It was originally described by the botanist Philip Miller. It is a small tree about 40 ft. Leaves are compound, opposite, 7–12 in long, leaflets 5–7 in, ovate to oblong, coarsely serrate or entire, 3–6 in long, 2–3 in wide. Fruit is frequently 3-winged (samara) with flat seed portion; seed sometimes a bright violet color. It is the smallest of eastern North American ash species, wood light, soft, weak, 22 lbs./cu.ft. Typical to coastal swamps and subtropical lowlands. Like other species in the section Melioides, Fraxinus caroliniana is dioecious, with male and female flowers produced on separate individuals.The tree is threatened by the emerald ash borer, an invasive species of beetle.",Summary,,Fraxinus,caroliniana,,17
"Fraxinus dipetala, the California ash or two-petal ash, is a species of ash native to southwestern North America in the United States in northwestern Arizona, California, southern Nevada, and Utah, and in Mexico in northern Baja California. It grows at altitudes of 100–1,300 m.It is a deciduous shrub or small tree growing to 7 m tall, with cylindric to four-angled stems. The leaves are 5–19 cm long, light to dark green, with three to seven (rarely nine) leaflets 1–7 cm long, thick, and serrated along the margins. The flowers have two white lobe-shaped petals 2.5–4 mm long, and are sweetly scented, hanging in fluffy clusters; unlike many ashes, they are bisexual, not dioecious. The fruit is a long, flat samara 2–3.2 cm long and 5–9 mm broad, green when immature and hanging in bunches.

",Summary,,Fraxinus,dipetala,,17
"Fraxinus latifolia is a medium-sized deciduous tree that can grow to heights of 20–25 metres (65–80 feet) in height, with a trunk diameter of 40–75 centimetres (16–30 inches) in its 100−150-year average life span. Oregon ash can grow considerably larger and can have well over a 200-year life span, or become stunted and very small in more dry habitats. It can develop a broad crown, almost as wide as a bigleaf maple (Acer macrophyllum) when it grows in the open, but crowns remain narrow when they are part of a denser tree stand, similar to that of red alder (Alnus rubra).The bark is distinctive with dark gray–brown, and it will eventually develop a woven pattern of deep fissures and ridges. The compound leaves are pinnate, 12–33 cm (4+3⁄4–13 in) long, with 5–9 leaflets attached in pairs to a linear stalk and an additional leaflet at the tip. Each leaflet is ovate, 6–12 cm (2+1⁄4–4+3⁄4 in) long and 3–4 cm (1+1⁄8–1+5⁄8 in) broad. The leaves are noticeably lighter green than those of associated broadleaf species, and turn bright yellow and fall off early in autumn. It is common for the leaves and bark to show signs of disease and brown rot on otherwise healthy plants. After leaves have fallen off the plant in fall and before it begins to leaf out, Oregon ash can be identified by its stout twigs and opposite branching arrangement and opposing buds. Unlike bigleaf maples, ash twigs have woolly hairs. In mid to late spring, the tree produces small flowers that are not very noticeable. It is dioecious; it requires two separate plants (male and female) to successfully pollinate and reproduce. The fruit, produced by female trees, is a cluster of samaras, 3–5 cm (1+1⁄8–2 in) long that includes wings similar to maple trees. It is shaped like a canoe, with the small seed located near one end.",Description,,Fraxinus,latifolia,,5
"Fraxinus latifolia is found on the west side of the Cascade Range from southwestern British Columbia south through western Washington, western Oregon, and northwestern California; and in central California in the Sierra Nevada.The Oregon ash grows mostly in wet habitats and prefers damp, loose soils such as sloughs, swales, wet meadows, swamps, streams, and bottomlands. It grows from sea level to 900 m (3,000 ft) in elevation, up to 1,700 m (5,600 ft) in the south of the range in California. In central Southern California, it integrates with Fraxinus velutina (velvet ash) of southern California east into Arizona.",Habitat,,Fraxinus,latifolia,,8
"Fraxinus latifolia, the Oregon ash, is a member of the ash genus Fraxinus, native to western North America.

",Summary,,Fraxinus,latifolia,,17
"Fraxinus nigra, the black ash, is a species of ash native to much of eastern Canada and the northeastern United States, from western Newfoundland west to southeastern Manitoba, and south to Illinois and northern Virginia. Formerly abundant, as of 2014 the species is threatened with near total extirpation throughout its range, as a result of infestation by a parasitic insect known as the emerald ash borer.

",Summary,,Fraxinus,nigra,,17
"Fraxinus parryi, known by common names chaparral ash, crucecilla, and fresnillo, is a species of ash native to southwestern North America, growing as a shrub or a small tree.

",Summary,,Fraxinus,parryi,,17
"Fraxinus pennsylvanica is a medium-sized deciduous tree reaching 12–25 metres (39–82 feet) (rarely to 45 m or 148 ft) tall with a trunk up to 60 centimetres (24 inches) in diameter. The bark is smooth and gray on young trees, becoming thick and fissured with age. The winter buds are reddish-brown, with a velvety texture. The leaves are 15–30 cm (6–12 in) long, oppositely arranged, pinnately compound with seven to nine (occasionally five or eleven) leaflets, these 5–15 cm (2–6 in) (rarely 18 cm or 7 in) long and 1.2–9 cm (1⁄2–3+9⁄16 in) broad, with serrated margins and short but distinct, downy petiolules a few millimeters long. They are green both above and below. The autumn color is golden-yellow and depending on the climate, green ash's leaves may begin changing color the first week of September. The flowers are produced in spring at the same time as the new leaves, in compact panicles; they are inconspicuous with no petals, and are wind-pollinated. The fruit is a samara 2.5–7.5 cm (1–3 in) long comprising a single seed 1.5–3 cm (5⁄8–1+1⁄8 in) long with an elongated apical wing 2–4 cm (3⁄4–1+1⁄2 in) long and 3–7 mm (1⁄8–9⁄32 in) broad.It is sometimes divided into two varieties, Fraxinus pennsylvanica var. pennsylvanica (red ash) and Fraxinus pennsylvanica var. lanceolata (Borkh.) Sarg. (syn. var. subintegerrima (Vahl) Fern.; green ash) on the basis of the hairless leaves with narrower leaflets of the latter, but the two intergrade completely, and the distinction is no longer upheld by most botanists.Like other species in the section Melioides, Fraxinus pennsylvanica is dioecious, with male and female flowers produced on separate individuals.",Description,,Fraxinus,pennsylvanica,,5
"Fraxinus pennsylvanica, the green ash or red ash, is a species of ash native to eastern and central North America, from Nova Scotia west to southeastern Alberta and eastern Colorado, south to northern Florida, and southwest to Oklahoma and eastern Texas. It has spread and become naturalized in much of the western United States and also in Europe from Spain to Russia.Other names more rarely used include downy ash, swamp ash and water ash.",Summary,,Fraxinus,pennsylvanica,,17
"Fraxinus profunda is a wetland and swamp tree. These wetland and swamp areas include land types such as tidal estuary swamps, depressions in coastal plains, floodplain flats, and coastal marshes. The range of the pumpkin ash tree tends to be discontinuous. Its native range is in the swamps and river bottoms as far south as northern Florida, and along the east coast up to southern Virginia. Few pumpkin ash trees can be found in southern parts of Illinois and Indiana, northern parts of Arkansas, and southern parts of Missouri. It has been extirpated from North Carolina, South Carolina, and Florida.",Native Range,,Fraxinus,profunda,,11
"Fraxinus profunda, the pumpkin ash, is a species of Fraxinus (ash) native to eastern North America, primarily in the United States, with a scattered distribution on the Atlantic coastal plain and interior lowland river valleys from southern Maryland northwest to Indiana, southeast to northern Florida, and southwest to southeastern Missouri to Louisiana, and also locally in the extreme south of Canada in Essex County, Ontario. The pumpkin ash tree is native to swampland areas. It is a tree that is very important environmentally and economically. Currently, Fraxinus profunda is threatened by the emerald ash borer which is threatening all species of ash trees in North America. The fruits of the pumpkin ash tree are also the largest of all ash trees in eastern North America.",Summary,,Fraxinus,profunda,,17
"Fraxinus quadrangulata, the blue ash, is a species of ash native primarily to the Midwestern United States from Oklahoma to Michigan, as well as the Bluegrass region of Kentucky and the Nashville Basin region of Tennessee. Isolated populations exist in Alabama, Southern Ontario, and small sections of the Appalachian Mountains. It is typically found over calcareous substrates such as limestone, growing on limestone slopes and in moist valley soils, at elevations of 120–600 m.

",Summary,,Fraxinus,quadrangulata,,17
"Freshly cut eastern white pine is yellowish white or a pale straw color, but pine wood which has aged many years tends to darken to a deep, rich, golden tan. Occasionally, one can find light brown pine boards with unusual yellowish-golden or reddish-brown hues. This is the famous ""pumpkin pine"". Slow growing pines in old-growth forests are thought to accumulate colored products in the heartwood, but genetic factors and soil conditions may also play a role in rich color development.This wood is also favored by patternmakers for its easy working.",Description,,Pinus,strobus,,5
"Fruit production can begin as early as ten years of age. The seeds grow during the summer and are dropped in the early fall. As the seeds fall the most common type of dispersal is through wind, but with pumpkin ash trees growing it wet areas, the seeds can also be dispersed through the water and can survive wet conditions for months.As a seedling, it thrives in moist soils in openings in the canopy cover. Dense cover does not benefit the young trees and it will grow very quickly in areas that are open with bare ground. Given highlight and moist conditions, the seedling will grow very quickly and can often outgrow other tree species.",Reproduction and Early Growth,,Fraxinus,profunda,,13
"Fungal diseases such as laminated root rot and shoestring root-rot can cause significant damage, and in plantation settings dominated by Douglas-fir monocultures may cause extreme damage to vast swathes of trees. Interplanting with resistant or nonhost species such as western redcedar and beaked hazelnut can reduce this risk. Other threats to Douglas-fir include red ring rot and the Douglas-fir beetle.",Threats,,Pseudotsuga,menziesii,,19
"Further to the south, Juniperus grandis (the Sierra juniper) is sometimes treated as a variety of J. occidentalis (as J. occidentalis var. australis). J. grandis is 12–26 m (39–85 ft) tall with a trunk up to 3 m (10 ft) in diameter. The cones are 5–9 mm (3⁄16–11⁄32 in) wide. Most plants are dioecious, but about 5–10% are monoecious. The two plants are also chemically distinct. J. grandis can be found in California and westernmost Nevada, south of 40° 30' N latitude in the Sierra Nevada and San Bernardino Mountains. The oldest and largest specimen of J. grandis is 26 m (85 ft) tall and 3.88 m (12 ft 9 in) wide, perhaps 3,000 years old, and located in California's Stanislaus National Forest.",Taxonomy,,Juniperus,occidentalis,,18
